Series Name,"Series Code","Country Name","Country Code","2016 [YR2016]"
"Population, total","SP.POP.TOTL","Greenland","GRL","56186"
"Population, total","SP.POP.TOTL","Grenada","GRD","119966"
"Population, total","SP.POP.TOTL","Guam","GUM","168346"
"Population, total","SP.POP.TOTL","Guatemala","GTM","15827690"
"Population, total","SP.POP.TOTL","Guinea","GIN","11930985"
"Population, total","SP.POP.TOTL","Guinea-Bissau","GNB","1834552"
"Population, total","SP.POP.TOTL","Guyana","GUY","759087"
"Population, total","SP.POP.TOTL","Haiti","HTI","10713849"
"Population, total","SP.POP.TOTL","Honduras","HND","9460798"
"Population, total","SP.POP.TOTL","Hong Kong SAR, China","HKG","7336600"
"Population, total","SP.POP.TOTL","Hungary","HUN","9814023"
"Population, total","SP.POP.TOTL","Iceland","ISL","335439"
"Population, total","SP.POP.TOTL","India","IND","1338636340"
"Population, total","SP.POP.TOTL","Indonesia","IDN","261850182"
"Population, total","SP.POP.TOTL","Iran, Islamic Rep.","IRN","83306231"
"Population, total","SP.POP.TOTL","Iraq","IRQ","38697943"
"Population, total","SP.POP.TOTL","Ireland","IRL","4755335"
"Population, total","SP.POP.TOTL","Isle of Man","IMN","83450"
"Population, total","SP.POP.TOTL","Israel","ISR","8546000"
"Population, total","SP.POP.TOTL","Italy","ITA","60627498"
"Population, total","SP.POP.TOTL","Jamaica","JAM","2802695"
"Population, total","SP.POP.TOTL","Japan","JPN","127076000"
"Population, total","SP.POP.TOTL","Jordan","JOR","9964656"
"Population, total","SP.POP.TOTL","Kazakhstan","KAZ","17794055"
"Population, total","SP.POP.TOTL","Kenya","KEN","47894670"
"Population, total","SP.POP.TOTL","Kiribati","KIR","118513"
"Population, total","SP.POP.TOTL","Korea, Dem. People's Rep.","PRK","25389611"
"Population, total","SP.POP.TOTL","Korea, Rep.","KOR","51217803"
"Population, total","SP.POP.TOTL","Kosovo","XKX","1777557"
"Population, total","SP.POP.TOTL","Kuwait","KWT","4048085"
"Population, total","SP.POP.TOTL","Kyrgyz Republic","KGZ","6079500"
"Population, total","SP.POP.TOTL","Lao PDR","LAO","6891363"
"Population, total","SP.POP.TOTL","Latvia","LVA","1959537"
"Population, total","SP.POP.TOTL","Lebanon","LBN","6258619"
"Population, total","SP.POP.TOTL","Lesotho","LSO","2143872"
"Population, total","SP.POP.TOTL","Liberia","LBR","4706097"
"Population, total","SP.POP.TOTL","Libya","LBY","6282196"
"Population, total","SP.POP.TOTL","Liechtenstein","LIE","37609"
"Population, total","SP.POP.TOTL","Lithuania","LTU","2868231"
"Population, total","SP.POP.TOTL","Luxembourg","LUX","582014"
"Population, total","SP.POP.TOTL","Macao SAR, China","MAC","626688"
"Population, total","SP.POP.TOTL","North Macedonia","MKD","1906313"
"Population, total","SP.POP.TOTL","Madagascar","MDG","25501941"
"Population, total","SP.POP.TOTL","Malawi","MWI","17405624"
"Population, total","SP.POP.TOTL","Malaysia","MYS","31526418"
"Population, total","SP.POP.TOTL","Maldives","MDV","454252"
"Population, total","SP.POP.TOTL","Mali","MLI","18700106"
"Population, total","SP.POP.TOTL","Malta","MLT","455356"
"Population, total","SP.POP.TOTL","Marshall Islands","MHL","48329"
"Population, total","SP.POP.TOTL","Mauritania","MRT","4051890"
"Population, total","SP.POP.TOTL","Mauritius","MUS","1263747"
"Population, total","SP.POP.TOTL","Mexico","MEX","121519221"
"Population, total","SP.POP.TOTL","Micronesia, Fed. Sts.","FSM","109925"
"Population, total","SP.POP.TOTL","Moldova","MDA","2803186"
"Population, total","SP.POP.TOTL","Monaco","MCO","37071"
"Population, total","SP.POP.TOTL","Mongolia","MNG","3029555"
"Population, total","SP.POP.TOTL","Montenegro","MNE","622303"
"Population, total","SP.POP.TOTL","Morocco","MAR","35107264"
"Population, total","SP.POP.TOTL","Mozambique","MOZ","27696493"
"Population, total","SP.POP.TOTL","Myanmar","MMR","51892349"
"Population, total","SP.POP.TOTL","Namibia","NAM","2323352"
"Population, total","SP.POP.TOTL","Nauru","NRU","11437"
"Population, total","SP.POP.TOTL","Nepal","NPL","27861186"
"Population, total","SP.POP.TOTL","Netherlands","NLD","17030314"
"Population, total","SP.POP.TOTL","New Caledonia","NCL","270220"
"Population, total","SP.POP.TOTL","New Zealand","NZL","4714100"
"Population, total","SP.POP.TOTL","Nicaragua","NIC","6389235"
"Population, total","SP.POP.TOTL","Niger","NER","20921743"
"Population, total","SP.POP.TOTL","Nigeria","NGA","188666931"
"Population, total","SP.POP.TOTL","Northern Mariana Islands","MNP","51133"
"Population, total","SP.POP.TOTL","Norway","NOR","5234519"
"Population, total","SP.POP.TOTL","Oman","OMN","4398070"
"Population, total","SP.POP.TOTL","Pakistan","PAK","213524840"
"Population, total","SP.POP.TOTL","Palau","PLW","17816"
"Population, total","SP.POP.TOTL","Panama","PAN","4026336"
"Population, total","SP.POP.TOTL","Papua New Guinea","PNG","8899169"
"Population, total","SP.POP.TOTL","Paraguay","PRY","6266615"
"Population, total","SP.POP.TOTL","Peru","PER","31132779"
"Population, total","SP.POP.TOTL","Philippines","PHL","104875266"
"Population, total","SP.POP.TOTL","Poland","POL","37970087"
"Population, total","SP.POP.TOTL","Portugal","PRT","10325452"
"Population, total","SP.POP.TOTL","Puerto Rico","PRI","3406672"
"Population, total","SP.POP.TOTL","Qatar","QAT","2595166"
"Population, total","SP.POP.TOTL","Romania","ROU","19702267"
"Population, total","SP.POP.TOTL","Russian Federation","RUS","145015460"
"Population, total","SP.POP.TOTL","Rwanda","RWA","11930899"
"Population, total","SP.POP.TOTL","Samoa","WSM","205544"
"Population, total","SP.POP.TOTL","San Marino","SMR","33834"
"Population, total","SP.POP.TOTL","Sao Tome and Principe","STP","204632"
"Population, total","SP.POP.TOTL","Saudi Arabia","SAU","33416270"
"Population, total","SP.POP.TOTL","Senegal","SEN","14751356"
"Population, total","SP.POP.TOTL","Serbia","SRB","7058322"
"Population, total","SP.POP.TOTL","Seychelles","SYC","94677"
"Population, total","SP.POP.TOTL","Sierra Leone","SLE","7493913"
"Population, total","SP.POP.TOTL","Singapore","SGP","5607283"
"Population, total","SP.POP.TOTL","Sint Maarten (Dutch part)","SXM","38992"
"Population, total","SP.POP.TOTL","Slovak Republic","SVK","5430798"
"Population, total","SP.POP.TOTL","Slovenia","SVN","2065042"
"Population, total","SP.POP.TOTL","Solomon Islands","SLB","628102"
"Population, total","SP.POP.TOTL","Somalia","SOM","14292847"
"Population, total","SP.POP.TOTL","South Africa","ZAF","56422274"
"Population, total","SP.POP.TOTL","South Sudan","SSD","11066105"
"Population, total","SP.POP.TOTL","Spain","ESP","46484062"
"Population, total","SP.POP.TOTL","Sri Lanka","LKA","21425494"
"Population, total","SP.POP.TOTL","St. Kitts and Nevis","KNA","47788"
"Population, total","SP.POP.TOTL","St. Lucia","LCA","176413"
"Population, total","SP.POP.TOTL","St. Martin (French part)","MAF","34811"
"Population, total","SP.POP.TOTL","St. Vincent and the Grenadines","VCT","105963"
"Population, total","SP.POP.TOTL","Sudan","SDN","39377169"
"Population, total","SP.POP.TOTL","Suriname","SUR","581453"
"Population, total","SP.POP.TOTL","Eswatini","SWZ","1142524"
"Population, total","SP.POP.TOTL","Sweden","SWE","9923085"
"Population, total","SP.POP.TOTL","Switzerland","CHE","8373338"
"Population, total","SP.POP.TOTL","Syrian Arab Republic","SYR","18964252"
"Population, total","SP.POP.TOTL","Tajikistan","TJK","8725318"
"Population, total","SP.POP.TOTL","Tanzania","TZA","54401802"
"Population, total","SP.POP.TOTL","Thailand","THA","70607037"
"Population, total","SP.POP.TOTL","Timor-Leste","TLS","1224562"
"Population, total","SP.POP.TOTL","Togo","TGO","7661354"
"Population, total","SP.POP.TOTL","Tonga","TON","105707"
"Population, total","SP.POP.TOTL","Trinidad and Tobago","TTO","1469330"
"Population, total","SP.POP.TOTL","Tunisia","TUN","11685667"
"Population, total","SP.POP.TOTL","Turkiye","TUR","79277962"
"Population, total","SP.POP.TOTL","Turkmenistan","TKM","5868561"
"Population, total","SP.POP.TOTL","Turks and Caicos Islands","TCA","38246"
"Population, total","SP.POP.TOTL","Tuvalu","TUV","10852"
"Population, total","SP.POP.TOTL","Uganda","UGA","38748299"
"Population, total","SP.POP.TOTL","Ukraine","UKR","45038236"
"Population, total","SP.POP.TOTL","United Arab Emirates","ARE","8994263"
"Population, total","SP.POP.TOTL","United Kingdom","GBR","65611593"
"Population, total","SP.POP.TOTL","United States","USA","323071755"
"Population, total","SP.POP.TOTL","Uruguay","URY","3413766"
"Population, total","SP.POP.TOTL","Uzbekistan","UZB","31847900"
"Population, total","SP.POP.TOTL","Vanuatu","VUT","283218"
"Population, total","SP.POP.TOTL","Venezuela, RB","VEN","30741464"
"Population, total","SP.POP.TOTL","Viet Nam","VNM","93126529"
"Population, total","SP.POP.TOTL","Virgin Islands (U.S.)","VIR","107516"
"Population, total","SP.POP.TOTL","West Bank and Gaza","PSE","4367088"
"Population, total","SP.POP.TOTL","Yemen, Rep.","YEM","29274002"
"Population, total","SP.POP.TOTL","Zambia","ZMB","16767761"
"Population, total","SP.POP.TOTL","Zimbabwe","ZWE","14452704"
Population growth (annual %),"SP.POP.GROW","Afghanistan","AFG","2.58154939895659"
Population growth (annual %),"SP.POP.GROW","Albania","ALB","-0.159880412127734"
Population growth (annual %),"SP.POP.GROW","Algeria","DZA","1.99343168879913"
Population growth (annual %),"SP.POP.GROW","American Samoa","ASM","-1.80723076890422"
Population growth (annual %),"SP.POP.GROW","Andorra","AND","1.10060298979862"
Population growth (annual %),"SP.POP.GROW","Angola","AGO","3.58621100683242"
Population growth (annual %),"SP.POP.GROW","Antigua and Barbuda","ATG","0.690288328652049"
Population growth (annual %),"SP.POP.GROW","Argentina","ARG","1.05718157762752"
Population growth (annual %),"SP.POP.GROW","Armenia","ARM","-0.444257166904663"
Population growth (annual %),"SP.POP.GROW","Aruba","ABW","0.590062487333077"
Population growth (annual %),"SP.POP.GROW","Australia","AUS","1.56194049810399"
Population growth (annual %),"SP.POP.GROW","Austria","AUT","1.08139629872802"
Population growth (annual %),"SP.POP.GROW","Azerbaijan","AZE","1.11785721013911"
Population growth (annual %),"SP.POP.GROW","Bahamas, The","BHS","0.831528122187361"
Population growth (annual %),"SP.POP.GROW","Bahrain","BHR","3.42907892150581"
Population growth (annual %),"SP.POP.GROW","Bangladesh","BGD","1.23079535447054"
Population growth (annual %),"SP.POP.GROW","Barbados","BRB","0.203329499651748"
Population growth (annual %),"SP.POP.GROW","Belarus","BLR","0.0877210878706449"
Population growth (annual %),"SP.POP.GROW","Belgium","BEL","0.506300002451376"
Population growth (annual %),"SP.POP.GROW","Belize","BLZ","2.04687117105776"
Population growth (annual %),"SP.POP.GROW","Benin","BEN","2.94982814392549"
Population growth (annual %),"SP.POP.GROW","Bermuda","BMU","-1.05247097968271"
Population growth (annual %),"SP.POP.GROW","Bhutan","BTN","0.868973710626164"
Population growth (annual %),"SP.POP.GROW","Bolivia","BOL","1.54728829634713"
Population growth (annual %),"SP.POP.GROW","Bosnia and Herzegovina","BIH","-1.23730578353764"
Population growth (annual %),"SP.POP.GROW","Botswana","BWA","2.02880248969911"
Population growth (annual %),"SP.POP.GROW","Brazil","BRA","0.8112564782781"
Population growth (annual %),"SP.POP.GROW","British Virgin Islands","VGB","1.26217731781244"
Population growth (annual %),"SP.POP.GROW","Brunei Darussalam","BRN","1.07549615845856"
Population growth (annual %),"SP.POP.GROW","Bulgaria","BGR","-0.701382097841331"
Population growth (annual %),"SP.POP.GROW","Burkina Faso","BFA","2.93481128912484"
Population growth (annual %),"SP.POP.GROW","Burundi","BDI","1.62902475388378"
Population growth (annual %),"SP.POP.GROW","Cabo Verde","CPV","1.12160806985756"
Population growth (annual %),"SP.POP.GROW","Cambodia","KHM","1.33408515743887"
Population growth (annual %),"SP.POP.GROW","Cameroon","CMR","2.99217541611777"
Population growth (annual %),"SP.POP.GROW","Canada","CAN","1.13153974027004"
Population growth (annual %),"SP.POP.GROW","Cayman Islands","CYM","2.18250710253431"
Population growth (annual %),"SP.POP.GROW","Central African Republic","CAF","1.74517542237586"
Population growth (annual %),"SP.POP.GROW","Chad","TCD","3.14864850561675"
Population growth (annual %),"SP.POP.GROW","Channel Islands","CHI","0.939527209520039"
Population growth (annual %),"SP.POP.GROW","Chile","CHL","1.18906102612278"
Population growth (annual %),"SP.POP.GROW","China","CHN","0.573050906069647"
Population growth (annual %),"SP.POP.GROW","Colombia","COL","1.068611890834"
Population growth (annual %),"SP.POP.GROW","Comoros","COM","2.1696163026429"
Population growth (annual %),"SP.POP.GROW","Congo, Dem. Rep.","COD","3.46603464808537"
Population growth (annual %),"SP.POP.GROW","Congo, Rep.","COG","2.38886575467523"
Population growth (annual %),"SP.POP.GROW","Costa Rica","CRI","1.01547072688832"
Population growth (annual %),"SP.POP.GROW","Cote d'Ivoire","CIV","2.58067580845527"
Population growth (annual %),"SP.POP.GROW","Croatia","HRV","-0.69838345731273"
Population growth (annual %),"SP.POP.GROW","Cuba","CUB","0.0186756792498581"
Population growth (annual %),"SP.POP.GROW","Curacao","CUW","1.06031644056836"
Population growth (annual %),"SP.POP.GROW","Cyprus","CYP","0.888918593369278"
Population growth (annual %),"SP.POP.GROW","Czechia","CZE","0.192048415842684"
Population growth (annual %),"SP.POP.GROW","Denmark","DNK","0.780392644135167"
Population growth (annual %),"SP.POP.GROW","Djibouti","DJI","1.67550925836571"
Population growth (annual %),"SP.POP.GROW","Dominica","DMA","0.0970860001159586"
Population growth (annual %),"SP.POP.GROW","Dominican Republic","DOM","1.16332018268349"
Population growth (annual %),"SP.POP.GROW","Ecuador","ECU","1.49338987255655"
Population growth (annual %),"SP.POP.GROW","Egypt, Arab Rep.","EGY","2.08630284573945"
Population growth (annual %),"SP.POP.GROW","El Salvador","SLV","0.311563471293443"
Population growth (annual %),"SP.POP.GROW","Equatorial Guinea","GNQ","3.78456615093479"
Population growth (annual %),"SP.POP.GROW","Eritrea","ERI","0.754064581294597"
Population growth (annual %),"SP.POP.GROW","Estonia","EST","0.0291122255540077"
Population growth (annual %),"SP.POP.GROW","Ethiopia","ETH","2.71605397227228"
Population growth (annual %),"SP.POP.GROW","Faroe Islands","FRO","1.39145416003308"
Population growth (annual %),"SP.POP.GROW","Fiji","FJI","0.127589742794731"
Population growth (annual %),"SP.POP.GROW","Finland","FIN","0.287421401687637"
Population growth (annual %),"SP.POP.GROW","France","FRA","0.263868788565368"
Population growth (annual %),"SP.POP.GROW","French Polynesia","PYF","0.59932388341049"
Population growth (annual %),"SP.POP.GROW","Gabon","GAB","2.80421210921345"
Population growth (annual %),"SP.POP.GROW","Gambia, The","GMB","2.80404574599256"
Population growth (annual %),"SP.POP.GROW","Georgia","GEO","0.0598165991047394"
Population growth (annual %),"SP.POP.GROW","Germany","DEU","0.807218538573871"
Population growth (annual %),"SP.POP.GROW","Ghana","GHA","2.33938325896993"
Population growth (annual %),"SP.POP.GROW","Gibraltar","GIB","0.13828073187548"
Population growth (annual %),"SP.POP.GROW","Greece","GRC","-0.415913028277122"
Population growth (annual %),"SP.POP.GROW","Greenland","GRL","0.128227978389047"
Population growth (annual %),"SP.POP.GROW","Grenada","GRD","0.825295754248069"
Population growth (annual %),"SP.POP.GROW","Guam","GUM","0.218836685375473"
Population growth (annual %),"SP.POP.GROW","Guatemala","GTM","1.65807331834237"
Population growth (annual %),"SP.POP.GROW","Guinea","GIN","2.58950004128743"
Population growth (annual %),"SP.POP.GROW","Guinea-Bissau","GNB","2.51887831990535"
Population growth (annual %),"SP.POP.GROW","Guyana","GUY","0.53575873239208"
Population growth (annual %),"SP.POP.GROW","Haiti","HTI","1.41082121304761"
Population growth (annual %),"SP.POP.GROW","Honduras","HND","1.77333693683233"
Population growth (annual %),"SP.POP.GROW","Hong Kong SAR, China","HKG","0.619366345332479"
Population growth (annual %),"SP.POP.GROW","Hungary","HUN","-0.295110604845478"
Population growth (annual %),"SP.POP.GROW","Iceland","ISL","1.38808149583838"
Population growth (annual %),"SP.POP.GROW","India","IND","1.18504622906796"
Population growth (annual %),"SP.POP.GROW","Indonesia","IDN","1.05894205868913"
Population growth (annual %),"SP.POP.GROW","Iran, Islamic Rep.","IRN","1.83580791714073"
Population growth (annual %),"SP.POP.GROW","Iraq","IRQ","2.45940250005547"
Population growth (annual %),"SP.POP.GROW","Ireland","IRL","1.12883406399428"
Population growth (annual %),"SP.POP.GROW","Isle of Man","IMN","-0.171213441967113"
Population growth (annual %),"SP.POP.GROW","Israel","ISR","1.9603489624817"
Population growth (annual %),"SP.POP.GROW","Italy","ITA","-0.169884073301448"
Population growth (annual %),"SP.POP.GROW","Jamaica","JAM","0.294793625837463"
Population growth (annual %),"SP.POP.GROW","Japan","JPN","-0.0511374152133631"
Population growth (annual %),"SP.POP.GROW","Jordan","JOR","4.83585013508326"
Population growth (annual %),"SP.POP.GROW","Kazakhstan","KAZ","1.42204614032925"
Population growth (annual %),"SP.POP.GROW","Kenya","KEN","2.20214556198549"
Population growth (annual %),"SP.POP.GROW","Kiribati","KIR","1.53561388437723"
Population growth (annual %),"SP.POP.GROW","Korea, Dem. People's Rep.","PRK","0.519654351165206"
Population growth (annual %),"SP.POP.GROW","Korea, Rep.","KOR","0.396851823381145"
Population growth (annual %),"SP.POP.GROW","Kosovo","XKX","-0.596734073866868"
Population growth (annual %),"SP.POP.GROW","Kuwait","KWT","3.50280908539676"
Population growth (annual %),"SP.POP.GROW","Kyrgyz Republic","KGZ","2.0372244221997"
Population growth (annual %),"SP.POP.GROW","Lao PDR","LAO","1.51981369057872"
Population growth (annual %),"SP.POP.GROW","Latvia","LVA","-0.913885332226604"
Population growth (annual %),"SP.POP.GROW","Lebanon","LBN","-2.2172797902348"
Population growth (annual %),"SP.POP.GROW","Lesotho","LSO","1.18953362244047"
Population growth (annual %),"SP.POP.GROW","Liberia","LBR","2.01259665687601"
Population growth (annual %),"SP.POP.GROW","Libya","LBY","1.4423513120791"
Population growth (annual %),"SP.POP.GROW","Liechtenstein","LIE","0.677661202777028"
Population growth (annual %),"SP.POP.GROW","Lithuania","LTU","-1.27069453298857"
Population growth (annual %),"SP.POP.GROW","Luxembourg","LUX","2.15531198799205"
Population growth (annual %),"SP.POP.GROW","Macao SAR, China","MAC","1.84379989293183"
Population growth (annual %),"SP.POP.GROW","North Macedonia","MKD","-0.320367473371963"
Population growth (annual %),"SP.POP.GROW","Madagascar","MDG","2.58601148442291"
Population growth (annual %),"SP.POP.GROW","Malawi","MWI","2.71781408401004"
Population growth (annual %),"SP.POP.GROW","Malaysia","MYS","1.4620698661924"
Population growth (annual %),"SP.POP.GROW","Maldives","MDV","4.19690422374828"
Population growth (annual %),"SP.POP.GROW","Mali","MLI","3.1904414229907"
Population growth (annual %),"SP.POP.GROW","Malta","MLT","2.28861544064371"
Population growth (annual %),"SP.POP.GROW","Marshall Islands","MHL","-2.21210382968728"
Population growth (annual %),"SP.POP.GROW","Mauritania","MRT","2.64252802228661"
Population growth (annual %),"SP.POP.GROW","Mauritius","MUS","0.0687082325715694"
Population growth (annual %),"SP.POP.GROW","Mexico","MEX","1.13323428792033"
Population growth (annual %),"SP.POP.GROW","Micronesia, Fed. Sts.","FSM","0.422085800331518"
Population growth (annual %),"SP.POP.GROW","Moldova","MDA","-1.16302237797705"
Population growth (annual %),"SP.POP.GROW","Monaco","MCO","0.842469530267675"
Population growth (annual %),"SP.POP.GROW","Mongolia","MNG","2.16233694829923"
Population growth (annual %),"SP.POP.GROW","Montenegro","MNE","0.0231425307711559"
Population growth (annual %),"SP.POP.GROW","Morocco","MAR","1.22317023430594"
Population growth (annual %),"SP.POP.GROW","Mozambique","MOZ","3.12915549916881"
Population growth (annual %),"SP.POP.GROW","Myanmar","MMR","0.790127200535222"
Population growth (annual %),"SP.POP.GROW","Namibia","NAM","1.76502653275581"
Population growth (annual %),"SP.POP.GROW","Nauru","NRU","2.22801188569867"
Population growth (annual %),"SP.POP.GROW","Nepal","NPL","0.90447404681918"
Population growth (annual %),"SP.POP.GROW","Netherlands","NLD","0.532178879608489"
Population growth (annual %),"SP.POP.GROW","New Caledonia","NCL","0.281648570411144"
Population growth (annual %),"SP.POP.GROW","New Zealand","NZL","2.24603210015584"
Population growth (annual %),"SP.POP.GROW","Nicaragua","NIC","1.42874739634574"
Population growth (annual %),"SP.POP.GROW","Niger","NER","3.86709120542471"
Population growth (annual %),"SP.POP.GROW","Nigeria","NGA","2.50703408562558"
Population growth (annual %),"SP.POP.GROW","Northern Mariana Islands","MNP","-0.742353404784604"
Population growth (annual %),"SP.POP.GROW","Norway","NOR","0.880969815359919"
Population growth (annual %),"SP.POP.GROW","Oman","OMN","4.80412978549779"
Population growth (annual %),"SP.POP.GROW","Pakistan","PAK","1.20405567252781"
Population growth (annual %),"SP.POP.GROW","Palau","PLW","0.123560813249084"
Population growth (annual %),"SP.POP.GROW","Panama","PAN","1.73456002172234"
Population growth (annual %),"SP.POP.GROW","Papua New Guinea","PNG","2.46859434505795"
Population growth (annual %),"SP.POP.GROW","Paraguay","PRY","1.42498352233719"
Population growth (annual %),"SP.POP.GROW","Peru","PER","1.36122543775229"
Population growth (annual %),"SP.POP.GROW","Philippines","PHL","1.77382446993613"
Population growth (annual %),"SP.POP.GROW","Poland","POL","-0.04298513087435"
Population growth (annual %),"SP.POP.GROW","Portugal","PRT","-0.315459016997883"
Population growth (annual %),"SP.POP.GROW","Puerto Rico","PRI","-1.93497109034618"
Population growth (annual %),"SP.POP.GROW","Qatar","QAT","7.21280238660749"
Population growth (annual %),"SP.POP.GROW","Romania","ROU","-0.573660845379617"
Population growth (annual %),"SP.POP.GROW","Russian Federation","RUS","0.258751057379474"
Population growth (annual %),"SP.POP.GROW","Rwanda","RWA","2.44299698959529"
Population growth (annual %),"SP.POP.GROW","Samoa","WSM","0.964528455768062"
Population growth (annual %),"SP.POP.GROW","San Marino","SMR","0.783340306115649"
Population growth (annual %),"SP.POP.GROW","Sao Tome and Principe","STP","1.72916107570727"
Population growth (annual %),"SP.POP.GROW","Saudi Arabia","SAU","2.014458627481"
Population growth (annual %),"SP.POP.GROW","Senegal","SEN","2.7154429589038"
Population growth (annual %),"SP.POP.GROW","Serbia","SRB","-0.523694463062603"
Population growth (annual %),"SP.POP.GROW","Seychelles","SYC","1.33763477950025"
Population growth (annual %),"SP.POP.GROW","Sierra Leone","SLE","2.4195089151865"
Population growth (annual %),"SP.POP.GROW","Singapore","SGP","1.29743609938602"
Population growth (annual %),"SP.POP.GROW","Sint Maarten (Dutch part)","SXM","0.42921278480994"
Population growth (annual %),"SP.POP.GROW","Slovak Republic","SVK","0.128922329956911"
Population growth (annual %),"SP.POP.GROW","Slovenia","SVN","0.0731972072415279"
Population growth (annual %),"SP.POP.GROW","Solomon Islands","SLB","2.48924408661005"
Population growth (annual %),"SP.POP.GROW","Somalia","SOM","3.77095438271416"
